epoch,time_taken,scores
61,1133.0776097774506,"{'Bleu_1': 0.34719180463559396, 'Bleu_2': 0.21034649611776873, 'Bleu_3': 0.13628176787395946, 'Bleu_4': 0.09090740630268024, 'Gleu_1': 0.31742921524444007, 'Gleu_2': 0.21776433247371554, 'Gleu_3': 0.16372066552843895, 'Gleu_4': 0.13013628966639545}"
64,1133.244353055954,"{'Bleu_1': 0.32765737285559454, 'Bleu_2': 0.19880225915958843, 'Bleu_3': 0.13049876308979907, 'Bleu_4': 0.09046284864234647, 'Gleu_1': 0.3037906048208212, 'Gleu_2': 0.20851424864001597, 'Gleu_3': 0.15739290106298748, 'Gleu_4': 0.12608128167067614}"
67,1134.165203332901,"{'Bleu_1': 0.3761978463802784, 'Bleu_2': 0.22602046190548952, 'Bleu_3': 0.1457807966813174, 'Bleu_4': 0.09657568356297841, 'Gleu_1': 0.31963238350344064, 'Gleu_2': 0.21840396206139326, 'Gleu_3': 0.16391685970469122, 'Gleu_4': 0.13006506243122998}"
70,1134.180401802063,"{'Bleu_1': 0.3554907343271069, 'Bleu_2': 0.2162244635010723, 'Bleu_3': 0.14147469186073744, 'Bleu_4': 0.095879971628139, 'Gleu_1': 0.3164751694630066, 'Gleu_2': 0.21760498272590142, 'Gleu_3': 0.16414626537280594, 'Gleu_4': 0.13090369557628048}"
73,1133.425963640213,"{'Bleu_1': 0.3521575575636593, 'Bleu_2': 0.21361754392161686, 'Bleu_3': 0.13795803579912758, 'Bleu_4': 0.09090194402193769, 'Gleu_1': 0.31869467950588465, 'Gleu_2': 0.2187869239858212, 'Gleu_3': 0.16434054431263084, 'Gleu_4': 0.13033767413688674}"
76,1132.973687171936,"{'Bleu_1': 0.31974932850665355, 'Bleu_2': 0.19533729988715678, 'Bleu_3': 0.1281974582614064, 'Bleu_4': 0.08654498891064007, 'Gleu_1': 0.3001637798401906, 'Gleu_2': 0.20674405749032615, 'Gleu_3': 0.15608936841569546, 'Gleu_4': 0.12440074230630445}"
79,1133.4262073040009,"{'Bleu_1': 0.32786622997698994, 'Bleu_2': 0.19763540521836295, 'Bleu_3': 0.12874898647180494, 'Bleu_4': 0.08836003939609287, 'Gleu_1': 0.3057100297914598, 'Gleu_2': 0.20915032679738563, 'Gleu_3': 0.15746775288526815, 'Gleu_4': 0.12585095410005157}"
82,1133.2258179187775,"{'Bleu_1': 0.3341363358253549, 'Bleu_2': 0.20352025630048137, 'Bleu_3': 0.13039549072935055, 'Bleu_4': 0.08536716629452212, 'Gleu_1': 0.30391153977300406, 'Gleu_2': 0.20905863208244982, 'Gleu_3': 0.1566728244046133, 'Gleu_4': 0.12409626371404014}"
85,1133.249768257141,"{'Bleu_1': 0.3443728132761918, 'Bleu_2': 0.20300841381020843, 'Bleu_3': 0.12697339478536163, 'Bleu_4': 0.07933631394159035, 'Gleu_1': 0.3117097840886987, 'Gleu_2': 0.2108644284729743, 'Gleu_3': 0.15671517809675706, 'Gleu_4': 0.12313263349147067}"
88,1133.0954494476318,"{'Bleu_1': 0.33984265545313913, 'Bleu_2': 0.20852114199307542, 'Bleu_3': 0.13755792040528583, 'Bleu_4': 0.0944760498077439, 'Gleu_1': 0.30770350953837194, 'Gleu_2': 0.21249570045698, 'Gleu_3': 0.16075485465068073, 'Gleu_4': 0.1285829429247897}"
91,1133.8352949619293,"{'Bleu_1': 0.31963521977152604, 'Bleu_2': 0.1900228753416901, 'Bleu_3': 0.12367687726844316, 'Bleu_4': 0.08593261938599592, 'Gleu_1': 0.29631089001625377, 'Gleu_2': 0.20124170946990474, 'Gleu_3': 0.15134070595364338, 'Gleu_4': 0.12119623587173324}"
94,1134.6456100940704,"{'Bleu_1': 0.32945669542379263, 'Bleu_2': 0.20134522503747507, 'Bleu_3': 0.13095767619471416, 'Bleu_4': 0.08849443701094588, 'Gleu_1': 0.30649312085519154, 'Gleu_2': 0.21118961715774703, 'Gleu_3': 0.15902094116851043, 'Gleu_4': 0.12673468338815788}"
97,1134.0962631702423,"{'Bleu_1': 0.35503194378597325, 'Bleu_2': 0.21540256472203043, 'Bleu_3': 0.14031812467040342, 'Bleu_4': 0.09406264635610659, 'Gleu_1': 0.3190943834357312, 'Gleu_2': 0.21908819352627198, 'Gleu_3': 0.16500586650802307, 'Gleu_4': 0.13129360975854626}"
100,1136.4179921150208,"{'Bleu_1': 0.3286889580339195, 'Bleu_2': 0.20289967295965336, 'Bleu_3': 0.13404284736779656, 'Bleu_4': 0.09143776549614252, 'Gleu_1': 0.30757402906601855, 'Gleu_2': 0.21304806388428507, 'Gleu_3': 0.16128375972737907, 'Gleu_4': 0.12885734892586678}"
